,text,explanation,origin
406,Bums on seats,"The paying audience at a venue with seating, usually a theatre or cinema. ",English
407,Bun in the oven,"To have 'a bun in the oven' is to be pregnant. Oven = womb, baby = bun.",English
408,Bunch of fives - A ,"'A bunch of fives' is a slang term for
          a fist, especially one used for punching. The
          fives are the four fingers and the thumb.",English
409,Bunny boiler,"An
obsessive and dangerous female, in pursuit of a lover who has spurned her.",English
410,Burn the candle at both ends,To live at a hectic pace.,English
411,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting. ",English
412,Bury the hatchet,To bury the hatchett is to settle your differences with an adversary.,English
413,Bury your head in the sand,Refuse to confront or acknowledge a problem.,English
414,Busy as a bee,Very busy.,English
415, Butt end of the stick - The ,To get the short end of the stick is to come off worst in a bargain or contest.,English
416,Butter no parsnips - Fine words,The proverb 'Fine words butter no parsnips' means that nothing concrete is achieved by empty words or flattery.,English
417,Butter side down,The 'buttered side down' view of life is one that is pessimistic and fatalistic.,English
418,Butter wouldn't melt in his mouth,"Prim and proper, with a cool demeanour ",English
419,Butterfingers,A name playfully applied to someone who  fails to catch a ball or lets something slip from their fingers.,English
420,By and large,On the whole; generally speaking; all things considered.,English
421,By dint of,By means of; as a result of - especially by the means of force.,English
422,By gum,"Exclamation of surprise. This is an example of a minced-oath, and is a euphemism for 'By God'.",English
423,By hook or by crook,To do something 'by hook or by crook' is to do it by whatever means are necessary - be they fair or foul. ,English
424,By the board,"Finished with, as in thrown overboard.",English
425,By the book,"Correctly; according to
the rules.",English
426,By the short hairs,"To be 'caught/got/held by the short hairs', or in the UK equivalent '... by the short and curlies', is to be trapped by an opponent in a position one can't easily escape from.",English
427,By the skin of your teeth,Narrowly; barely. Usually used in regard to a narrow escape from a disaster.,English
428,By your leave,Without even asking for permission.,English
429,Bygones be bygones - Let,To 'let bygones be bygones' is to allow the unpleasant things that have happened in the past  be forgotten.,English
430,Caesar Salad,"The name of a salad typically consisting of cos lettuce, garlic, croutons and anchovies, dressed with olive oil, lemon juice and parmesan cheese.",English
431,Call a spade a spade,To call a spade a spade is to speak plainly - to describe something as it really is.,English
432,Call of the wild - The ,The appeal of nature in the raw.,English
433,Camera cannot lie - The ,Literal meaning. ,English
434,Can't be overestimated/can't be underestimated,"There has always been some muddling up of the words overestimate and underestimate. The use of the negative in the expressions 'can't be over/underestimated' makes it easy to slip up. Also, the fact that, when you use either phrase, the context of what you are saying usually makes your meaning clear. Many speakers (and the people they are speaking to) just don't bother to check. ",English
435,Can't hold a candle to,"The expression 'can't hold a candle to' refers to someone who
compares badly to an known authority - to be unfit even to hold a subordinate position. ",English
436,Canteen culture,The colloquial name for the conservative and discriminatory attitudes held by some sections of the British police forces. ,English
437,Canterbury pace,The pace of mounted pilgrims. ,English
438,Carbon-copy,An exact duplicate. ,English
439,Carbon footprint,The amount of carbon dioxide (CO2) emitted during an industrial or domestic process; a measure of how that process contributes toward global warming. ,English
440,Card-sharp,"Someone who is skilful at playing or manipulating cards, or one who makes a living by cheating at cards. ",English
441,Carey Street - On,"Euphemism
for being bankrupt or in debt.",English
442,Carpe diem,"
'Carpe diem' is usually translated from the Latin as 'seize the day'. However, the more pedantic of Latin scholars may very well seize you by the throat if you suggest that translation. ",English
443,Carry coals to Newcastle,To do something pointless and superfluous.,English
444,Cart before the horse - Put the ,Reverse the accepted or logical order of things.,English
445,Carte blanche,Having free rein to choose whatever course of action you want.,English
446,Cash on the nail,Payment made immediately.,English
447,(Ne'er) cast a clout till May be out,"With most phrases and sayings the meaning is well understood but the origin is uncertain. With this one the main interest is the doubt about the meaning. So, this time, we'll have the origin first. ",English
448,Cast the first stone,"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'. ",English
449,Cat burglar,A 'Cat burglar' is a burglar who enters buildings by extraordinarily skilful feats of climbing.,English
450,Cat got your tongue?,'Has the cat got your tongue' is a light-hearted question addressed to someone who is inexplicably silent.,English
451,Cat may look at a king - A ,An inferior isn't completely restricted in what they may do in the presence of a superior. ,English
452,Cat out of the bag - Let the ,"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently.",English
453,Catbird seat - In the,"In
a superior or advantageous position.",English
454,Catch 22,'Catch-22' is a paradox in which the attempt to escape makes escape impossible. ,English
455,Cat's Cradle,"A box-like shape which is made by from twisting a loop of string around their fingers. It is usually played by two players, although some variations may be played by one. ",English
456,Cat's pajamas - The,If something is said to be the cat's pajamas it is excellent - the highest quality.,English
457,Caught in a cleft stick,In a position where advance and retreat are both impossible; in a fix.,English
458,Caught by the short hairs,"To be 'caught/got/held by the short hairs', or in the UK equivalent '... by the short and curlies', is to be trapped by an opponent in a position one can't easily escape from.",English
459,Caught red-handed,"To be caught red-handed is to be caught in the act of committing a misdemeanour, with the evidence there for all to see. ",English
460,Chain is only as strong as its weakest link - A ,"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain.",English
461,Chaise lounge,A 'chaise lounge' is the American name of a form of sofa with a backrest at one end only. Elsewhere these sofas are called chaise longues.,English
462,Chalk and cheese,Two things that are  very different from each other. ,English
463,Champ at the bit,Be restless and impatient to commence; especially during an unwelcome delay. ,English
464,Chance would be a fine thing,"There is not much chance of that [thing], welcome though it would be. ",English
465, Channel surfing,"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",English
466,Charity begins at home,"The proverb 'charity begins at home' expresses the overriding demand to take care of one's family, before caring for others.",English
467,Charley horse,Leg cramp or stiffness.,English
468,Charm offensive,"A
publicity campaign, usually by politicians, that attempts to attract supporters
by emphasizing their charisma or trustworthiness.",English
469,Charmed life,"A life of guaranteed good fortune or invulnerability, by virtue of a charm or spell.",English
470,Cheap at half the price,Of uncertain meaning - see below. ,English
471,Cheek by jowl,Side by side; in close or intimate proximity,English
472,Cherchez la femme,"The translation from the French is ""look for/seek the woman"". It is used when a man behaves unusually or gets into a quarrel or other difficulty and the reason for it is sought. ",English
473,Chew the cud,"To 'chew the cud', in a literal sense, is for ruminant animals to masticate regurgitated food. In a metaphorical sense it is, for humans, to chat in an aimless manner.",English
474,Chick flick,A film with characterization and story-lines that appeal especially to women. ,English
475,Chickens come home to roost,Bad deeds or words return to discomfort their perpetrator. ,English
476,Children should be seen and not heard,Literal meaning. ,English
477,Chinese whispers,"Inaccurately transmitted gossip. 'Chinese whispers' refers to a sequence of repetitions of a story, each one differing slightly from the original, so that the final telling bears only a scant resemblance to the original.",English
478,Chinless wonder,"A
member of the upper classes - usually male.",English
479,Chip off the old block,A person or thing that derives from the source or parentage.,English
480,Chip on your shoulder,A 'chip on your shoulder' is a perceived grievance or sense of inferiority.,English
481,Chit-chat,Casual small-talk or gossip. ,English
482,Chock-a-block,Crammed so tightly together as to prevent movement. ,English
483,Chop and change,To  change one's mind or action again and again.,English
484,Chop-chop,Be quick; hurry up.,English
485,Chow down,Sit down to eat - similar in meaning to the British term 'tuck in'. ,English
486,Christmas box - A ,See also: our list of 'Christmas Card Sayings and Expressions'. ,English
487,Christmas card verses,"Self-made cards with goodwill verses have been sent, by hand or by post, for centuries. The first that's recognizable as what we now think of as a Christmas card, that is, a printed card sent by post, was sent at Christmas 1843.",English
488,Clean breast - make a ,To make a full disclosure; to confess.,English
489,Cleanliness is next to godliness,The proverb 'cleanliness is next to godliness' expresses the idea that those who are pure and wholesome are close to God.,English
490,Clear blue water,Originally a term from competitive rowing referring to an obvious gap between the leading boat and those following. In more recent years it has been used allusively to mean the discernible distance between the ideologies of two political parties.,English
491,Cleft stick - In a ,In a position where advance and retreat are both impossible; in a fix.,English
492,Cliff-hanger,A story or situation in which the main consideration is one of suspense. ,English
493,Climb on the bandwagon,"Join a growing movement in support of someone or something, often in an opportunist way, when that movement is seen to have become successful.",English
494,Cloak and dagger,"Concerned with, or characteristic of espionage or intrigue, especially in the context of drama.",English
495,Clod-hopper,"A rough, unsophisticated countryman. ",English
496,Clog up,To  become obstructed.,English
497,"Close, but no cigar",The expression 'close but no cigar' is used to indicate that someone has fallen just short of a successful outcome and failed to secure any reward. ,English
498,Close quarters,"Close contact with, especially in a military context - close contact with the enemy.",English
499,Close your eyes and think of England,'Close your eyes and think of England' is a reference to unwanted sexual intercourse - specifically advice to an unwilling wife when sexually approached by her husband. ,English
500,Cloud cuckoo land,"A realm of fanciful or impractical, idealistic notions.",English
501,Cloud nine,To be 'on cloud nine' is to be in a state of blissful happiness.,English
502,Club sandwich,"A club sandwich is a sandwich of bread, sometimes toasted, and several other ingredients, often chicken or turkey,  bacon, lettuce, tomato, and mayonnaise. The sandwiches are usually cut into halves or quarters to form small triangles.",English
503,Clue - don't have a,Without any knowledge or understanding. ,English
504,Clutch at straws,"Try any route to get out of a desperate situation, no matter how unlikely it is to succeed.",English
505,Coals to Newcastle - Carry ,To do something pointless and superfluous.,English
506,Coat of many colours ,"From the Bible, Genesis 37:3 (King James Version):",English
507,Cobblers - A load of ,"Nonsense, rubbish. ",English
508,Cock-a-hoop,In a state of exuberant elation.,English
509,Cock-sure,"Certain. This term has been used in many ways, all with different but related meanings; for example, 'absolutely sure or safe', 'completely dependable', 'sure in one's own mind', etc. The common thread through all of these is certainty. ",English
510,Cock a snook,A derisive gesture. ,English
511,Cock and bull story,"A
fanciful and unbelievable tale.",English
512,Cock-up,A blunder; a confused situation. ,English
513,Cockney rhyming slang,A type of slang in which  words are replaced by  words or phrases they rhyme with. ,English
514,Codswallop - a load of ,Nonsense. ,English
515,Cogito ergo sum,"Usually translated from the Latin as 'I think, therefore I am'.",English
516,Coin a phrase,To create a new phrase.,English
517,Cold as any stone,Very cold.,English
518,Cold comfort,Slight consolation or encouragement in the face of a reverse. ,English
519,Cold enough to freeze the balls off a brass monkey,"If it's said to be 'cold enough to freeze the balls off a brass monkey' it is very
cold indeed. ",English
520,Cold feet,"To 'get cold feet' is to become disheartened or timid, losing one's previous enthusiasm or courage. ",English
521,Cold shoulder,"A display of coldness or indifference, intended to wound.",English
522,Cold turkey,"The sudden and complete withdrawal from an addictive substance and/or the physiological effects of such a withdrawal. Also, predominantly in the U.S.A., plain speaking. ",English
523,Colder than a witch's tit,'Colder than a witch's tit' is an expressive way of saying 'very cold' - usually in reference to the weather.,English
524,Collywobbles - The ,"A
state of intestinal disorder, usually accompanied by a rumbling stomach; for example, 'butterflies in the stomach'.",English
525,Colour up ,To blush or turn red in the face.,English
526,Come a cropper,Fall over or fail at some venture.,English
527,Come clean,To make a full disclosure; to confess. ,English
528,Come on down,The catchphrase used to invite audience members to the stage to become contestants in game shows.,English
529,Come up trumps,"To complete something well or successfully, especially in circumstances in which it isn't expected.",English
530,Come what come may,Let whatever events crop up come to pass. ,English
531,Comes to the crunch - (When it) ,When a decisive point at which one's future course is determined.,English
532,(Coming in) on a wing and a prayer,"In a difficult situation, relying on meagre resources and luck to get out of it. ",English
533,Common sense,Good practical sense. The natural intelligence that is believed to be available to all rational people. ,English
534,Comparisons are odious,Literal meaning. ,English
535,Compassion fatigue,A weariness of and diminishing public response to frequent requests for charity.,English
536,Complete shambles,A scene of disorder; a ruin; a mess. ,English
537,Concrete overcoat,"A jocular reference to a form of coffin, alluding to a body being dumped beneath a layer of concrete. ",English
538,Cook the books,"The deliberate distorting of a firm's financial accounts, often with the aim of avoiding the payment of tax. ",English
539,Cookie cutter,"Originally, a utensil for cutting shaped pieces out of dough. More recently, characterising a lack of originality. ",English
540,Cool as a cucumber,'As cool as a cucumber' means calm and unruffled.,English
541,Cool Britannia,"Used to describe the contemporary culture of the United Kingdom, primarily during the 1990s. ",English
542,Cop an attitude,Adopt an aggressive or antagonistic bearing.,English
543,Copper-bottomed,"A thing that is copper-bottomed, whether it be an object or an idea, is genuine; trustworthy; unlikely to fail.",English
544,Cor blimey,'Cor blimey' is an exclamation of surprise. ,English
545,Cordon bleu,"The rating of 'Cordon bleu' is an indication of high quality, especially of cooking.",English
546,Cost an arm and a leg ,"A large, possibly exorbitant, amount of money. ",English
547,Cotton on to,To get to know or understand something. ,English
548,Cotton-picking,"'Cotton-picking' ia an intensifier, used as a general term of disapproval. A substitute for the word 'damned'.",English
549,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,English
550,Countenance more in sorrow than in anger - A ,Literal meaning - a person or thing that displays more  sadness than  anger.,English
551,Counting sheep,Counting sheep is  a distraction technique used to help people get to sleep. ,English
552,Country bumpkin,"An awkward, unsophisticated rustic; a clown",English
553,Course of true love never did run smooth - The ,Literal meaning.,English
554,Crack of doom - The ,"The sound that heralds the day of the Last Judgment, when God will decree the fates of all men according to the good and evil of their earthly lives.",English
555,Crackpot,A crazy person; a crank.,English
556,Crapper - The ,"The
 lavatory.",English
557,Crocodile tears,To weep crocodile tears is to put on an insincere show of sorrow. ,English
558,Crop up,To emerge or occur incidentally or unexpectedly.,English
559,Crown jewels,"Literally, the Crown Jewels are the state jewellery of the United Kingdom. In a figurative sense 'the crown jewels' is a slang term for the male genitalia.",English
560,Cry havoc and let slip the dogs of war,The military order Havoc! was a signal given to the English military forces in the Middle Ages to direct the soldiery (in Shakespeare's parlance 'the dogs of war') to pillage and chaos.,English
561,Curate's egg,Something bad that is called good out of politeness or timidity.,English
562,Curiosity killed the cat,Inquisitiveness can lead one into dangerous situations.,English
563,Curry favour,"To curry favour is to attempt to gain benefit or ingratiate oneself, by officious courtesy or flattery.",English
564,Customer is always right - The ,"'The customer is always right' is a trading slogan that states a company's keenness to be seen to put the customer first. The implied suggestion is that the company is so customer focussed that they will say the customer is right, even if they aren't.",English
565,Cut and run,Run away.,English
566,Cut of your jib - The ,One's general appearance and demeanour.,English
567,Cut off without a penny,Disinherited.,English
568,Cut off your nose to spite your face,To 'cut off your nose to spite your face' is to disadvantage yourself in order to do harm to an adversary. ,English
569,Cut the mustard,To succeed; to come up to expectations.,English
570,Cut to the chase,Get to the point - leaving out unnecessary preamble. ,English
571,Cute as a bug's ear,Very cute.,English
572,Daft as a brush,To be 'as daft as a brush' is to be very stupid or foolish.,English
573,Damp squib,"A 'damp squib' is something that fails ignominiously to satisfy  expectations; an anti-climax, a disappointment.",English
574,Dance attendance on,To wait upon someone in an overly assiduous or sycophantic manner.,English
575,Daniel come to judgement,Someone who makes a wise judgement about something that has previously proven difficult to resolve.,English
576,Darby and Joan,'Darby and Joan' are an archetypal elderly couple. The phrase is used as a general term for old age.,English
577,Dark horse,"A dark horse is someone, who was previously little known, emerges to prominence in a competition.",English
578,Darkest hour - The ,The darkest hour is the time when bad events are at their worst and most dispiriting.,English
579,Darkest hour is just before the dawn - The ,"There is hope, even in the worst of circumstances.",English
580,Dark side - The ,"The evil and malevolent aspect of human personality or society, often referred to in a lighthearted or comic context. ",English
581,Darling buds of May,An appreciation of what is fresh and new. ,English
582,Dash to pieces,Break into fragments.,English
583,Date rape,Rape by an acquaintance during a social engagement. ,English
584,Davy Jones' locker,The bottom of the sea; the mythical resting place of drowned mariners.,English
585,Daylight robbery,Blatant and unfair overcharging.,English
586,Dead as a dodo,Unambiguously and unequivocally dead.,English
587,Dead as a doornail,"To be 'as dead as a doornail' is to be utterly dead,  devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects). ",English
588,Dead cat bounce,A dead cat bounce is a small and temporary recovery in a financial market following a large fall. ,English
589,Dead in the water,A dead in the water ship is one that is motionless and without power. The figurative expression 'dead in the water' means 'unable to function; without hope of future  success;  doomed'.,English
590,Dead ringer,"An
exact duplicate.",English
591,Delusions of grandeur,A false and exaggerated belief about one's status or importance. ,English
592,Derring-do,Heroic daring. ,English
593,Designer stubble,"A short growth of beard, aimed to affect a rugged masculine or deliberately unkempt appearance.",English
594,Deus ex machina,"Something or someone that comes in the nick of time to solve a difficulty, especially in works of fiction.",English
595,Devil and the deep blue sea ,"In difficulty, faced with two dangerous alternatives.",English
596,Devil Incarnate - The ,The Devil in human form. ,English
597,Devil take the hindmost - The ,A proverbial phrase indicating that those who lag behind will receive no aid.,English
598,Devil to pay - The ,'The devil to pay' means serious trouble because of a particular circumstance or obligation. ,English
599,Devil's advocate,"Figuratively, one who takes a contrary position for the sake of testing an argument, or just to be perverse.",English
600,Diamond in the rough,Someone who is basically good hearted but lacking social graces and respect for the law.,English
601,Diamond is forever - A,"Advertising
slogan for De Beers' diamonds.",English
602,Dicky-bird - Not a,Not a sound; not an utterance.,English
603,Die-hard,"A person who holds stubbornly to a minority view, in defiance of the circumstances.",English
604,Die has been cast - The ,"'The die has been cast' means that an
irrevocable choice has been made.",English
605,(As)  different as chalk and cheese,Two things that are  very different from each other. ,English
606,Different kettle of fish,'A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.,English
607,Differently abled,To be 'differently abled' is to be physically or mentally handicapped or disabled but to show qualities that the able-bodied do not have. The expression is intended to avoid the perceived negative connotations of the prefix 'dis' in disabled.,English
608,Dirt bag,Originally a bag or sack with dirt in it. More recently an unkempt or slovenly person.,English
609,Dish fit for the gods - A ,An offering of high quality. ,English
610,Do unto others as you would have them do to you,Literal meaning.,English
611,Dock your pay,Make a deduction from a person's pay.,English
612,Doesn't know shit from Shinola,Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,English
613,Doff your hat,To doff your hat is to raise your hat in acknowledgement of or deference to another.,English
614,Dog days,The 'dog days' are the very hot days during July and August.,English
615,Dog in the manger,"Spiteful
 and mean-spirited.",English
616,(A) Dog is a man's best friend,"An animal that performs valuable service to humans, often with reference to dogs. ",English
617,Dog's bollocks,Excellent - the absolute apex. In other contexts the word bollocks (meaning testicles) has a negative connotation; for example:,English
618,Dog's breakfast,A confused mess or muddle.,English
619,Dog's dinner,The expression 'dog's dinner' has several meanings:,English
620,Doldrums - in the ,In low spirits; feeling dull and drowsy.,English
621,Dollars to doughnuts,An outcome that is almost assured; a certainty.,English
622,Done a runner,Left in a hurry. ,English
623,Done to a turn,Cooked just right. ,English
624,Donkey's years,A very long time. ,English
625,"Don't call us, we'll call you",Don't bother to pursue your application further.,English
626,Don't cast your pearls before swine,Items of quality offered to those who aren't cultured enough to appreciate them.,English
627,Don't change horses in midstream,Don't change your leader or your basic position when part-way through a campaign or a project .,English
628,Don't count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,English
629,Don't die like I did,NO INFORMATION,English
630,"Don't get mad, get even","The proverbial saying 'don't get mad, get even' means that, when suffering a loss at the hands of another, don't waste your energy on anger but work towards redressing the harm done.",English
631,Don't go there,I don't want to discuss that.,English
632,Don't have a clue,Without any knowledge or understanding. ,English
633,Don't keep a dog and bark yourself,The proverbial saying 'don't keep a dog and bark yourself' is advice that you should not  pay someone to do a task and then do it yourself.,English
634,Don't know shit from Shinola,Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,English
635,Don't let the bastards grind you down,The meaning of this proverbial saying is self evident. ,English
636,Don't look a gift horse in the mouth,The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.,English
637,Don't shut the stable door after the horse has bolted,Don't waste time taking precautions when the damage has already been done.,English
638,Don't throw good money after bad,"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",English
639,Don't throw the baby out with the bathwater,Don't discard something valuable along with something undesirable.,English
640,Don't try to teach your Grandma to suck eggs,Don't offer advice to someone who has more experience than oneself.,English
641,Doom and gloom,"A feeling of pessimism and despondency, often with regard to business or political prospects. ",English
642,Double cross,"An act of treachery, perpetrated on a previous partner in a deceit.",English
643,"Double, double toil and trouble, fire burn, and cauldron bubble","From Shakespeare's Macbeth, 1605.",English
644,Double Dutch,Nonsense; gibberish - a language one cannot understand.,English
645,Double entendre,A figure of speech in which a phrase can be understood in two ways - one of them risqu̩. Commonly used  to convey sexual puns.,English
646,Double standard,A double standard is a rule which is applied more strictly to one group than to another. ,English
647,Double whammy,A double blow or setback.,English
648,Down at heel,Impoverished. ,English
649,Down in the dumps,Unhappy; depressed.,English
650,Down to the wire,Referring to the decisive moment at the very end of a close contest.,English
651,Down the pan,If something has gone 'down the pan' it is wasted and unrecoverable. ,English
652,Down the tubes,Wasted and unrecoverable. ,English
653,Drag race,A race between road vehicles - usually two vehicles over a quarter mile straight track and from a standing start. The race is essentially a competition to determine which vehicle has the greater acceleration. ,English
654,Dragged through a hedge backwards,Said to someone who is unkempt and whose hair needs brushing.,English
655,Draw a blank,To fail to recall a memory or fail in some speculative effort.,English
656,Draw your horns in,Restrain one's ardour; lower one's ambitions.,English
657,Dreams of empire,The aimless longing for glory. ,English
658,Dressed to the nines,To be 'dressed to the nines' is to be dressed flamboyantly or smartly.,English
659,Drink like a fish,"To 'drink like a fish' is to drink heavily, especially of alcoholic drink.",English
660,Driving while black,An ironic name for the imagined crime of being a black driver.,English
661,Drop-dead gorgeous,Breathtakingly beautiful.,English
662,Drop in the bucket - A ,A drop in the bucket is a very small and insignificant proportion of the whole.,English
663,Dropping like flies,Falling down ill or dead in large numbers.,English
664,Drummed out of the army,Dismissed from army service to the sound of a drum.,English
665,Ducks and drakes,To behave recklessly; to idly squander one's wealth. ,English
666,Dumb blonde,A conspicuously attractive but stupid blonde woman.,English
667,Dust up,"A
 fight.",English
668,Dutch - My old ,An affectionate term for wife.,English
669,Dutch courage,Confidence gained from being drunk.,English
670,Duvet day,A duvet day is a paid day's work in which the employee is allowed to stay at home for rest and relaxation.,English
671,Ear candy,Music with an instant appeal but with little lasting significance.,English
672,Early bird catches the worm - The ,Success comes to those who prepare well and put in effort. ,English
673,"Early to bed and early to rise makes a man healthy, wealthy and wise",Literal meaning.,English
674,Ear-mark,To set aside for a particular purpose.,English
675,"East, west, home's best","This proverbial saying express the idea that, wherever you travel in the world, your home is the best place to be.",English
676,Easy as pie ,Very easy.,English
677,Eat drink and be merry,"From the Bible, Ecclesiastes VIII 15 (King James Version):",English
678,Eat humble pie,"Act submissively and apologetically, especially in admitting an error.",English
679,Eat my hat,"A display of confidence in a particular outcome; for example, 'She's always late. If she gets that train I'll eat my hat'.",English
680,Eaten out of house and home,"This is one of the phrases that, while having been long attributed to Shakespeare, was in fact used earlier by others and has now been demoted to 'popularised by' rather than 'coined by' the bard. There is a definition of the expression in Thomas Cooper's glossary Thesaurus Linguae Romanae Britannicae, 1578:",English
681,Economical with the truth,"Conveying an untrue version of events by leaving out the important facts. A euphemism for lying, in short. ",English
682,"Eeny, meeny, miny, mo",The first line of a popular children's counting rhyme.,English
683,Egg on,To egg someone on is to encourage them and urge them forward.,English
684,Eighty six,This little term originally meant that a restaurant had run out of an item that was on the menu.,English
685,Elbow-grease,Energetic labour.,English
686,Elementary my dear Watson,"The supposed explanation that Sherlock Holmes gave to his assistant, Dr. Watson, when explaining deductions he had made.",English
687,Elephant in the room,"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable. ",English
688,Elvis has left the building,The expression 'Elvis has left the building' was originally a literal announcement that Elvis Presely had left after a show. It later took on a more general meaning of 'the show is over; there's nothing more to say'.,English
689,Emperor's new clothes,The label given to any fictional item that viewers have been induced into believing as real.. ,English
690,End of story,The talking is over - there's no more to be said. ,English
691,Ends of the earth  - The,The furthest reaches of the land. ,English
692,Enough is as good as a feast,To get Enough is enough is to come off worst in a bargain or contest.,English
693,Enough is enough,To get Enough is enough is to come off worst in a bargain or contest.,English
694,Englishman's home is his castle,The English dictum that a man's home is his refuge. ,English
695,Eponymous Phrases,NO INFORMATION,English
696,"Et tu, Brute","""Et tu Brute"" are supposedly the dying words of Julius Caesar. They translate from Latin as 'You too, Brutus?'.",English
697,Ethnic cleansing,The expression 'ethnic cleansing' is a  euphemism for the ruthless removal or killing of an ethnic or religious group from areas that have been taken over by opposing forces. ,English
698,Euphemisms,"English has a wealth of euphemisms. They are coded expressions that we use when whatever we are referring to is considered inappropriate for the circumstances or when we are embarrassed or uncomfortable with the literal version. As one might expect, many euphemisms relate to death or to what a true euphemist would refer to as 'the trouser region'. ",English
699,Even at the turning of the tide,"The 'turning of the tide' is literally the change of the tide from incoming to outgoing, or vice-versa. Normally the phrase is used to denote some change from a previously stable course of events.",English
700,Every cloud has a silver lining,"The proverbial saying 'every cloud has a silver lining' is used to convey the notion that, no matter how bad a situation might seem, there is always has some good aspect to it. ",English
701,Everybody out,An injunction to workers to 'down tools' come out on strike.,English
702,Exceedingly well read,Erudite and literate. ,English
703, Exception that proves the rule - The ,"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood. ",English
704,Excuse me while I kiss this guy,A misheard lyric.,English
705,Excuse my French,Please forgive my swearing. ,English
706,Extraordinary rendition,"A procedure whereby criminal suspects are sent for interrogation from one country to a second country, where less strict laws governing interrogation apply. ",English
707,Eye candy - see ear candy,Music with an instant appeal but with little lasting significance.,English
708,"(An) eye for an eye, a tooth for a tooth","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.",English
709,"Eye of newt and toe of frog, wool of bat and tongue of dog",The archetypal recipe for spells and enchantments.,English
710,Face that launched a thousand ships - The ,"A reference to the mythological figure Helen of Troy (or some would say, to Aphrodite). Her abduction by Paris was said to be the reason for a fleet of a thousand ships to be launched into battle, initiating the Trojan Wars.",English
711,Face the music,Accept the unpleasant consequences of one's actions.,English
712,Faff about,Dither ineffectually.,English
713,Fag end,"The  remnant of something, especially the part left after the best part has been used.",English
714,Failing to plan is planning to fail,Literal meaning .,English
715,Faint-hearted,Having one's intentions divided; not fully committed; lacking zeal or courage.,English
716,Fair and square,"Honest and straightforward, especially of business dealings.",English
717,Fair dinkum,Honest; genuine; fair play.,English
718,Fair exchange is no robbery,An exchange of two things of equal value is a reasonable and honest trade.,English
719,Fair play,"'Fair play' is the properly conducted conditions for a game, giving all participants an equal chance. The expression is also used more widely to mean fairness and justice in contexts other than games. ",English
720,Fair to middling,Slightly above average.,English
721,Fairy-tale ending,"A perfect, joyful and  simplistic ending  to a story, like those often found in fairy tales.",English
722,Fait accompli ,An accomplished fact; an action which is completed before those affected by it are in a position to query or reverse it.,English
723,Faith will move mountains,Faith is immensely powerful. ,English
724,Fall from grace,To fall from position of high esteem. ,English
725,Fall guy,"A scapegoat; one who takes on the responsibilities or workload of others. Here 'fall' is used with the criminal slang meaning of 'arrest' or 'period in prison'. More recently, it has also come to mean a person who is easily duped or outmanoeuvred. ",English
726,Fall off the back of a lorry,A euphemism for 'acquired illegally'.,English
727,Fall on your sword,"To 'fall on your sword' is, literally, to commit suicide or, figuratively, to offer your resignation. ",English
728,Famous for fifteen minutes,"This is a well-known as a quotation from Andy Warhol. It does derive from Warhol - his actual line was ""In the future everybody will be world famous for fifteen minutes."".",English
729,Famous last words (dying statements of famous people - a list) ,NO INFORMATION,English
730,Famous last words (the ironic phrase) ,"'Famous last words' might be used ironically when a remark or prediction  is likely to be proved wrong by events. No one is suggesting that  death might be the result, merely a mild inconvenience. For example:",English
731,Fancy free,To be 'fancy free' is to be without any ties or commitments. ,English
732,Fancy pants,"Overly elaborate, swanky or pretentious - especially of dress. Also applied to people who act in that manner. ",English
733,Fanny Adams - Sweet ,Nothing.,English
734,Far be it from me,A disassociation from something - 'God forbid that I should... ' [do that thing].,English
735,Far from the madding crowd,A quiet and rural place. ,English
736,Farmers,Haemorrhoids. Haemorrhoids -> piles -> Farmer Giles -> Farmers. ,English
737,Fashion victim,Someone who slavishly follows fashion trends.,English
738,"The word fast, and phrases that derive from it.",Stable and firmly fixed in  place; not easily moved. ,English
739,Fast and loose,Be inconstant and unreliable.,English
740,Fast asleep,Soundly asleep.,English
741,Fathom out,To ascertain something; to deduce from the facts.,English
